"Invalid form key. Please try again.","Invalid form key. Please try again."
"Please select a delivery method first.","Please select a delivery method first."
"A new verification code has been sent.","A new verification code has been sent."
"Invalid delivery method selected.","Invalid delivery method selected."
"Please enter the verification code.","Please enter the verification code."
"Incorrect verification code. Please try again.","Incorrect verification code. Please try again."
"Email only","Email only"
"SMS only","SMS only"
"Both (customer chooses)","Both (customer chooses)"
"Too many verification code requests. Please wait before requesting a new one.","Too many verification code requests. Please wait before requesting a new one."
"No active verification code found. Please request a new one.","No active verification code found. Please request a new one."
"Your verification code has expired. Please request a new one.","Your verification code has expired. Please request a new one."
"Too many incorrect attempts. Please log in again and request a new code.","Too many incorrect attempts. Please log in again and request a new code."
"Unable to send the verification code by email. Please try again.","Unable to send the verification code by email. Please try again."
"No phone number found on your billing address. Cannot send SMS verification code.","No phone number found on your billing address. Cannot send SMS verification code."
"SMS delivery is not configured. Please contact support.","SMS delivery is not configured. Please contact support."
"Your verification code is: %1. It expires in %2 minutes.","Your verification code is: %1. It expires in %2 minutes."
"Unable to send the verification code by SMS. Please try again.","Unable to send the verification code by SMS. Please try again."
"Verify Your Identity","Verify Your Identity"
"To complete your login, we need to verify your identity.","To complete your login, we need to verify your identity."
"How would you like to receive your verification code?","How would you like to receive your verification code?"
"Email to %1","Email to %1"
"SMS to %1","SMS to %1"
"A verification code will be sent to %1.","A verification code will be sent to %1."
"A verification code will be sent by SMS to %1.","A verification code will be sent by SMS to %1."
"Send Verification Code","Send Verification Code"
"email to %1","email to %1"
"A verification code has been sent via %1.","A verification code has been sent via %1."
"Please enter the code below to complete your login.","Please enter the code below to complete your login."
"Verification Code","Verification Code"
Verify,Verify
"Resend code","Resend code"
"Use a different method","Use a different method"
"Your verification code","Your verification code"
"%name,","%name,"
"You are receiving this email because a login attempt was made to your account.","You are receiving this email because a login attempt was made to your account."
"Please use the verification code below to complete your login. The code expires in %minutes minutes.","Please use the verification code below to complete your login. The code expires in %minutes minutes."
"If you did not attempt to log in, please ignore this email. Your account remains secure.","If you did not attempt to log in, please ignore this email. Your account remains secure."
"Do not share this code with anyone.","Do not share this code with anyone."
Muon,Muon
"Multi-Factor Login","Multi-Factor Login"
General,General
"Enable Multi-Factor Login","Enable Multi-Factor Login"
"Token Settings","Token Settings"
"Token Length","Token Length"
"Number of characters in the verification token. Allowed range: 4–12.","Number of characters in the verification token. Allowed range: 4–12."
"Character Set","Character Set"
"Characters used to generate the token, e.g. 0123456789 or 0123456789ABCDEF.","Characters used to generate the token, e.g. 0123456789 or 0123456789ABCDEF."
"Token Lifetime (minutes)","Token Lifetime (minutes)"
"How long the verification token remains valid after it is sent.","How long the verification token remains valid after it is sent."
"Delivery Methods","Delivery Methods"
"Allowed Delivery Methods","Allowed Delivery Methods"
"SMS requires Twilio credentials and a phone on the customer billing address.","SMS requires Twilio credentials and a phone on the customer billing address."
"Rate Limiting","Rate Limiting"
"Max Token Requests per Window","Max Token Requests per Window"
"Maximum number of tokens a customer may request within the rate limit window.","Maximum number of tokens a customer may request within the rate limit window."
"Rate Limit Window (minutes)","Rate Limit Window (minutes)"
"Rolling time window used to count token requests.","Rolling time window used to count token requests."
"Max Verification Attempts per Token","Max Verification Attempts per Token"
"Token is invalidated after this many consecutive wrong entries.","Token is invalidated after this many consecutive wrong entries."
"Twilio (SMS)","Twilio (SMS)"
"Account SID","Account SID"
"Your Twilio Account SID from the Twilio Console.","Your Twilio Account SID from the Twilio Console."
"Auth Token","Auth Token"
"From Number","From Number"
"Twilio phone number in E.164 format, e.g. +15551234567.","Twilio phone number in E.164 format, e.g. +15551234567."
Email,Email
"Sender Email","Sender Email"
"Leave empty to use the store's general contact email.","Leave empty to use the store's general contact email."
"Sender Name","Sender Name"
"Email Template","Email Template"
"Customise via Marketing → Email Templates, then select your template here.","Customise via Marketing → Email Templates, then select your template here."
